blue,green,red,ndwi,brightness,label,source_file
0.04441199,0.016967537,0.040867306,-0.4132346,0.03408228,1,GSL_2004_03.tif
0.024723347,0.0,0.019807821,-0.9999495,0.014843722,1,GSL_2004_03.tif
0.025675572,0.0,0.019286223,-0.99994814,0.014987265,1,GSL_2004_03.tif
0.022986937,0.0,0.02166601,-0.9999538,0.014884315,1,GSL_2004_03.tif
0.021922687,0.0,0.018764626,-0.9999467,0.013562438,1,GSL_2004_03.tif
0.02172664,0.0,0.020720616,-0.9999517,0.014149085,1,GSL_2004_03.tif
0.032257125,0.002517042,0.016808636,-0.7394749,0.01719427,1,GSL_2004_03.tif
0.034301605,0.0045102136,0.019384023,-0.6224592,0.019398613,1,GSL_2004_03.tif
0.019542126,0.0,0.012146861,-0.9999177,0.010562996,1,GSL_2004_03.tif
0.023995176,0.0,0.01622184,-0.99993837,0.013405672,1,GSL_2004_03.tif
0.02643175,0.0,0.020688016,-0.99995166,0.01570659,1,GSL_2004_03.tif
0.030240647,0.0011550413,0.015635043,-0.8623625,0.01567691,1,GSL_2004_03.tif
0.031977057,0.0018526514,0.015732842,-0.7892529,0.01652085,1,GSL_2004_03.tif
0.02948447,0.0,0.013385655,-0.99992526,0.014290042,1,GSL_2004_03.tif
0.039622862,0.008396898,0.0146570485,-0.27153173,0.02089227,1,GSL_2004_03.tif
0.039342795,0.006735922,0.013157456,-0.32278135,0.01974539,1,GSL_2004_03.tif
0.32225037,0.19483452,0.21255136,-0.04348898,0.24321209,0,GSL_2011_11.tif
0.7029768,0.5806828,0.5483036,0.02867987,0.6106544,0,GSL_2011_11.tif
0.78307366,0.6716429,0.63558745,0.027581535,0.696768,0,GSL_2011_11.tif
0.66768426,0.5504919,0.5188997,0.029542238,0.57902527,0,GSL_2011_11.tif
0.6486608,0.5316281,0.51430833,0.01655906,0.5648657,0,GSL_2011_11.tif
0.38053268,0.25276127,0.25377554,-0.0020023428,0.29568985,0,GSL_2011_11.tif
0.6115687,0.47787893,0.46282697,0.016000692,0.5174249,0,GSL_2011_11.tif
0.72725195,0.5955413,0.57692605,0.015876971,0.63323975,0,GSL_2011_11.tif
0.766878,0.65674126,0.6323638,0.018910365,0.6853277,0,GSL_2011_11.tif
0.7546119,0.64390695,0.62518376,0.0147532215,0.6745675,0,GSL_2011_11.tif
0.3242335,0.20301749,0.22368775,-0.04844144,0.25031292,0,GSL_2011_11.tif
0.64205027,0.51513296,0.5076656,0.0073009315,0.5549496,0,GSL_2011_11.tif
0.69508094,0.57926154,0.5637382,0.013581194,0.61269355,0,GSL_2011_11.tif
0.7572194,0.64429456,0.63299876,0.008843534,0.6781709,0,GSL_2011_11.tif
0.8185499,0.7072603,0.6799865,0.01966039,0.73526555,0,GSL_2011_11.tif
0.3852702,0.2585755,0.27800205,-0.03620449,0.3072826,0,GSL_2011_11.tif
0.5904152,0.4620298,0.46165472,0.00040608196,0.5046999,0,GSL_2011_11.tif
0.6357703,0.51134294,0.4982387,0.012979849,0.54845065,0,GSL_2011_11.tif
0.6293802,0.5044951,0.4941847,0.010324001,0.54268664,0,GSL_2011_11.tif
0.75479555,0.63740367,0.620104,0.0137570845,0.6707678,0,GSL_2011_11.tif
0.4984929,0.38971826,0.41452047,-0.03083932,0.4342439,0,GSL_2011_11.tif
0.49687698,0.37714234,0.38174626,-0.006066656,0.41858852,0,GSL_2011_11.tif
0.5709877,0.45264095,0.45931023,-0.0073131938,0.49431297,0,GSL_2011_11.tif
0.6095488,0.49855167,0.494087,0.004497761,0.5340625,0,GSL_2011_11.tif
0.69375885,0.5812427,0.5719929,0.008020736,0.6156648,0,GSL_2011_11.tif
0.7031771,0.6145428,0.58738136,0.022598265,0.6350337,0,GSL_2024_03.tif
0.65320724,0.57303816,0.54788285,0.02244162,0.59137607,0,GSL_2024_03.tif
0.70057863,0.6294327,0.61623186,0.010597403,0.64874774,0,GSL_2024_03.tif
0.7438858,0.6753251,0.67177445,0.0026357712,0.6969951,0,GSL_2024_03.tif
0.6957815,0.6224193,0.6165916,0.004703527,0.6449308,0,GSL_2024_03.tif
0.69285,0.5951212,0.5657615,0.025290819,0.6179109,0,GSL_2024_03.tif
0.64467907,0.555343,0.51921225,0.033623863,0.5730781,0,GSL_2024_03.tif
0.69288325,0.6007319,0.5297883,0.062753,0.60780114,0,GSL_2024_03.tif
0.7718023,0.68327355,0.63475806,0.03680903,0.6966112,0,GSL_2024_03.tif
0.72692937,0.63734514,0.6029577,0.02772499,0.6557441,0,GSL_2024_03.tif
0.7415206,0.65158767,0.595943,0.044603832,0.6630171,0,GSL_2024_03.tif
0.7552456,0.6718005,0.6152606,0.043929424,0.6807689,0,GSL_2024_03.tif
0.79408884,0.7099243,0.681739,0.02025295,0.72858405,0,GSL_2024_03.tif
0.8056818,0.73107225,0.7010206,0.020984413,0.74592495,0,GSL_2024_03.tif
0.79831964,0.72132546,0.6980348,0.016409237,0.73922664,0,GSL_2024_03.tif
0.7781651,0.69061065,0.6447586,0.034336597,0.70451146,0,GSL_2024_03.tif
0.78905857,0.70488906,0.65335613,0.037940785,0.71576786,0,GSL_2024_03.tif
0.7867599,0.7011846,0.6494351,0.038315326,0.71245986,0,GSL_2024_03.tif
0.7566781,0.67471373,0.648212,0.02003264,0.6932013,0,GSL_2024_03.tif
0.7384558,0.6580615,0.6315924,0.020524183,0.67603654,0,GSL_2024_03.tif
0.73622376,0.6498613,0.5604015,0.07391759,0.6488288,0,GSL_2024_03.tif
0.72229886,0.6361223,0.58004284,0.04611167,0.64615464,0,GSL_2024_03.tif
0.70860714,0.61950606,0.54910594,0.06024246,0.62573975,0,GSL_2024_03.tif
0.6872867,0.6021345,0.52629894,0.067204244,0.60524005,0,GSL_2024_03.tif
0.6821231,0.59602034,0.52237785,0.06584634,0.6001738,0,GSL_2024_03.tif
0.09592084,0.030947363,0.12574741,-0.6049943,0.0842052,0,GSL_2020_10.tif
